date,latitude,longitude,temperature_2m,relative_humidity_2m,precipitation,rain,weather_code
2022-01-03 03:00:00+00:00,12.867499000001,77.5324350003062,18.666,79.58889,0.0,0.0,1.0
2022-01-03 04:00:00+00:00,12.867499000001,77.5324350003062,20.866001,69.43747,0.0,0.0,1.0
2022-01-03 05:00:00+00:00,12.867499000001,77.5324350003062,22.816,60.8555,0.0,0.0,1.0
2022-01-03 06:00:00+00:00,12.867499000001,77.5324350003062,24.466002,53.694984,0.0,0.0,2.0
2022-01-03 07:00:00+00:00,12.867499000001,77.5324350003062,25.766,48.267414,0.0,0.0,1.0
2022-01-03 08:00:00+00:00,12.867499000001,77.5324350003062,26.616001,43.860878,0.0,0.0,2.0
2022-01-03 09:00:00+00:00,12.867499000001,77.5324350003062,26.966002,40.777187,0.0,0.0,2.0
2022-01-03 10:00:00+00:00,12.867499000001,77.5324350003062,26.366001,41.69277,0.0,0.0,2.0
2022-01-03 11:00:00+00:00,12.867499000001,77.5324350003062,26.216002,41.514244,0.0,0.0,2.0
2022-01-03 12:00:00+00:00,12.867499000001,77.5324350003062,24.916,46.342205,0.0,0.0,1.0
2022-01-03 13:00:00+00:00,12.867499000001,77.5324350003062,22.416,55.481346,0.0,0.0,1.0
2022-01-03 14:00:00+00:00,12.867499000001,77.5324350003062,21.166,61.665775,0.0,0.0,2.0
2022-01-03 15:00:00+00:00,12.867499000001,77.5324350003062,20.216002,66.23718,0.0,0.0,1.0
2022-01-03 16:00:00+00:00,12.867499000001,77.5324350003062,19.266,70.94565,0.0,0.0,3.0
2022-01-03 17:00:00+00:00,12.867499000001,77.5324350003062,18.516,75.07373,0.0,0.0,3.0
2022-01-03 18:00:00+00:00,12.867499000001,77.5324350003062,17.866001,81.29438,0.0,0.0,0.0
2022-01-03 19:00:00+00:00,12.867499000001,77.5324350003062,17.016,92.352585,0.0,0.0,0.0
2022-01-03 20:00:00+00:00,12.867499000001,77.5324350003062,16.616001,96.25116,0.0,0.0,3.0
